site,week_start,log10_conc,z_score,spectral_score,severity,n_obs,n_samples_in_week,in_known_wave
Shieldhall,2020-08-31,3.920,2.892,0.967,AMBER,12,4,
Fort William,2020-09-28,5.121,37.190,0.913,CRITICAL,8,1,
Fort William,2020-10-12,4.207,21.685,0.904,CRITICAL,9,1,
Fort William,2020-10-26,5.215,37.752,0.871,CRITICAL,10,1,
Fort William,2020-11-02,3.177,3.775,0.918,RED,11,1,
Lockerbie,2020-11-09,5.040,4.421,0.918,RED,9,2,
Fort William,2020-11-30,3.328,5.774,0.906,CRITICAL,12,1,
Fort William,2020-12-07,3.266,4.262,0.936,RED,13,1,Alpha wave
Allanfearn,2021-01-04,4.841,2.731,0.907,AMBER,22,3,Alpha wave
Annan,2021-01-04,6.077,6.093,0.907,CRITICAL,9,1,Alpha wave
Annan,2021-01-11,5.521,4.423,0.775,RED,10,1,Alpha wave
Fort William,2021-01-11,5.620,42.928,0.775,CRITICAL,15,1,Alpha wave
Troqueer,2021-01-11,5.318,3.256,0.775,AMBER,15,1,Alpha wave
Fort William,2021-02-08,3.747,7.659,0.822,CRITICAL,18,1,Alpha wave
Strathaven,2021-02-22,4.889,2.569,0.986,RED,8,1,
Dalbeattie,2021-03-01,4.603,2.693,0.905,AMBER,14,1,
Fort William,2021-03-01,4.118,11.011,0.905,CRITICAL,19,2,
Springfield,2021-03-15,4.329,2.528,0.865,AMBER,8,2,
Muirkirk,2021-04-12,4.967,2.760,0.872,AMBER,9,1,
Dunblane,2021-05-24,4.727,5.189,0.945,CRITICAL,8,2,
Fort William,2021-05-24,4.410,8.754,0.945,CRITICAL,26,1,
Alva,2021-05-31,4.992,2.612,0.857,AMBER,15,2,
Fort William,2021-05-31,4.593,9.393,0.857,CRITICAL,27,2,
Dalmuir - Auchinairn (6298),2021-06-07,4.599,5.782,0.805,CRITICAL,8,2,
Dalmuir - Auchinairn (6330),2021-06-07,4.590,3.180,0.805,AMBER,8,2,
Dunblane,2021-06-07,4.434,2.709,0.805,AMBER,10,2,
Fort William,2021-06-07,4.461,8.086,0.805,CRITICAL,28,1,
Dunblane,2021-06-14,7.200,7.655,0.842,CRITICAL,11,2,
Duns,2021-06-14,3.842,3.049,0.842,AMBER,12,2,
Fort William,2021-06-14,4.002,4.754,0.842,RED,29,2,
Dalmuir - Auchinairn (6298),2021-06-21,4.300,4.812,0.608,RED,10,2,Delta wave
Fort William,2021-06-21,4.600,7.959,0.608,CRITICAL,30,1,Delta wave
Hatton - Fintry East,2021-06-21,5.365,2.977,0.608,AMBER,8,2,Delta wave
Newburgh,2021-06-21,4.453,2.547,0.608,AMBER,17,2,Delta wave
Shieldhall - Barrhead,2021-06-21,5.135,2.675,0.608,AMBER,11,2,Delta wave
Banchory,2021-06-28,4.058,2.550,0.506,AMBER,9,2,Delta wave
Banff,2021-06-28,4.770,3.766,0.506,RED,11,2,Delta wave
Bathgate,2021-06-28,5.663,2.604,0.506,AMBER,25,2,Delta wave
Dalmuir - Auchinairn (6298),2021-06-28,5.380,8.558,0.506,CRITICAL,11,2,Delta wave
Duns,2021-06-28,4.484,4.028,0.506,RED,14,2,Delta wave
Forres,2021-06-28,5.279,2.972,0.506,AMBER,9,2,Delta wave
Fort William,2021-06-28,4.636,7.688,0.506,CRITICAL,31,2,Delta wave
Girvan,2021-06-28,4.656,3.376,0.506,AMBER,13,1,Delta wave
Hatton - Fintry East,2021-06-28,7.353,3.876,0.506,RED,9,2,Delta wave
Lockerbie,2021-06-28,4.547,2.810,0.506,AMBER,28,1,Delta wave
Meadowhead - Kilmarnock HMP,2021-06-28,5.380,4.487,0.506,RED,8,2,Delta wave
Banff,2021-07-05,4.852,3.476,0.505,AMBER,12,3,Delta wave
Dalmuir - Auchinairn (6298),2021-07-05,5.063,6.826,0.505,CRITICAL,12,1,Delta wave
Duns,2021-07-05,4.129,2.624,0.505,AMBER,15,2,Delta wave
Hawick,2021-07-05,5.983,2.645,0.505,AMBER,38,1,Delta wave
Lockerbie,2021-07-05,4.992,2.791,0.505,AMBER,29,2,Delta wave
Lossiemouth,2021-07-05,4.819,3.906,0.505,RED,21,3,Delta wave
Neilston,2021-07-05,5.429,2.762,0.505,AMBER,18,1,Delta wave
Peebles,2021-07-05,4.672,3.099,0.505,AMBER,29,1,Delta wave
Swinstie,2021-07-05,5.493,2.591,0.505,AMBER,20,1,Delta wave
Bothwellbank,2021-07-12,5.681,2.768,0.717,AMBER,26,1,Delta wave
Dalmuir - Auchinairn (6298),2021-07-12,5.363,7.509,0.717,CRITICAL,13,1,Delta wave
Fort William,2021-07-12,4.973,9.285,0.717,CRITICAL,32,2,Delta wave
Lossiemouth,2021-07-12,4.847,3.512,0.717,RED,22,2,Delta wave
Dalmuir - Auchinairn (6298),2021-07-19,4.213,2.504,0.854,AMBER,14,2,Delta wave
Fort William,2021-07-19,4.814,7.807,0.854,CRITICAL,33,1,Delta wave
Girvan,2021-07-19,5.117,2.990,0.854,AMBER,14,1,Delta wave
Fort William,2021-07-26,4.976,8.316,0.845,CRITICAL,34,2,Delta wave
Stevenston - Stevenston West,2021-07-26,5.815,3.349,0.845,AMBER,15,1,Delta wave
Eyemouth,2021-08-02,4.889,2.639,0.924,AMBER,9,1,Delta wave
