site,week_start,log10_conc,z_before_ingest,ewma_before,n_obs_before
Dalmuir,2020-05-25,2.931,,,0
Hatton,2020-05-25,3.244,,,0
Nigg,2020-05-25,2.741,,,0
Philipshill,2020-05-25,3.170,,,0
Shieldhall,2020-05-25,3.341,,,0
Falkirk,2020-06-01,2.826,,,0
Hatton,2020-06-01,3.070,,3.244,1
Philipshill,2020-06-01,2.784,,3.170,1
Shieldhall,2020-06-01,3.002,,3.341,1
Allanfearn,2020-06-08,2.975,,,0
Dalmuir,2020-06-08,2.784,,2.931,1
Dunfermline,2020-06-08,2.924,,,0
Levenmouth,2020-06-08,2.877,,,0
Shieldhall,2020-06-08,3.138,,3.208,2
Levenmouth,2020-06-15,2.568,,2.877,1
Shieldhall,2020-06-15,2.731,,3.180,3
Shieldhall,2020-06-22,2.818,,3.003,4
Shieldhall,2020-07-06,2.623,,2.930,5
Shieldhall,2020-07-13,2.764,,2.810,6
Shieldhall,2020-07-20,2.558,-0.919,2.792,7
Dunfermline,2020-07-27,1.000,,2.924,1
Nigg,2020-07-27,2.784,,2.741,1
Allanfearn,2020-08-03,2.639,,2.975,1
Dunfermline,2020-08-03,2.795,,2.167,2
Fort William,2020-08-03,2.797,,,0
Nigg,2020-08-03,2.881,,2.758,2
Allanfearn,2020-08-10,2.939,,2.843,2
Carbarns,2020-08-10,3.062,,,0
Dunfermline,2020-08-10,4.820,,2.414,3
Fort William,2020-08-10,2.823,,2.797,1
Kirkwall,2020-08-10,3.765,,,0
Nigg,2020-08-10,4.168,,2.806,3
Shieldhall,2020-08-10,3.165,1.738,2.700,8
Allanfearn,2020-08-17,2.883,,2.881,3
Carbarns,2020-08-17,2.565,,3.062,1
Dalmuir,2020-08-17,3.355,,2.873,2
Dalscone,2020-08-17,2.779,,,0
Dunfermline,2020-08-17,3.434,,3.361,4
Falkirk,2020-08-17,3.194,,2.826,1
Fort William,2020-08-17,2.773,,2.807,2
Hamilton,2020-08-17,2.980,,,0
Hatton,2020-08-17,3.996,,3.175,2
Kirkwall,2020-08-17,4.567,,3.765,1
Levenmouth,2020-08-17,3.010,,2.755,2
Meadowhead,2020-08-17,2.725,,,0
Nigg,2020-08-17,3.950,,3.342,4
Seafield,2020-08-17,2.854,,,0
Shieldhall,2020-08-17,3.235,1.500,2.832,9
Allanfearn,2020-08-24,3.265,,2.882,4
Carbarns,2020-08-24,3.728,,2.867,2
Dalmuir,2020-08-24,4.038,,3.063,3
Dunfermline,2020-08-24,3.372,,3.390,5
Falkirk,2020-08-24,2.803,,2.971,2
Fort William,2020-08-24,2.839,,2.794,3
Hamilton,2020-08-24,2.844,,2.980,1
Hatton,2020-08-24,3.922,,3.498,3
Hawick,2020-08-24,3.590,,,0
Kirkwall,2020-08-24,3.645,,4.080,2
Levenmouth,2020-08-24,3.510,,2.855,3
Nairn,2020-08-24,2.637,,,0
Nigg,2020-08-24,3.457,,3.581,5
Philipshill,2020-08-24,2.826,,3.018,2
Seafield,2020-08-24,3.203,,2.854,1
Shieldhall,2020-08-24,3.315,1.279,2.964,10
Stirling,2020-08-24,2.643,,,0
Allanfearn,2020-08-31,3.539,,3.032,5
Carbarns,2020-08-31,3.941,,3.205,3
Dalmuir,2020-08-31,3.960,,3.447,4
Dunfermline,2020-08-31,2.879,,3.383,6
Falkirk,2020-08-31,3.279,,2.904,3
Fort William,2020-08-31,2.924,,2.811,4
Hamilton,2020-08-31,3.675,,2.926,2
Hatton,2020-08-31,3.272,,3.665,4
Hawick,2020-08-31,3.801,,3.590,1
Kirkwall,2020-08-31,3.049,,3.909,3
Levenmouth,2020-08-31,2.678,,3.113,4
Meadowhead,2020-08-31,3.501,,2.725,1
Nigg,2020-08-31,3.217,,3.532,6
Philipshill,2020-08-31,3.895,,2.943,3
Seafield,2020-08-31,3.444,,2.991,2
Shieldhall,2020-08-31,3.920,2.892,3.099,11
Allanfearn,2020-09-07,3.454,,3.142,6
Carbarns,2020-09-07,3.420,,3.495,4
Dalmuir,2020-09-07,4.175,,3.649,5
Dalscone,2020-09-07,2.944,,2.779,1
Dunfermline,2020-09-07,3.096,-0.078,3.184,7
Falkirk,2020-09-07,3.319,,3.052,4
Fort William,2020-09-07,2.752,,2.856,5
Hatton,2020-09-07,3.131,,3.510,5
Hawick,2020-09-07,3.740,,3.673,2
Levenmouth,2020-09-07,3.113,,2.942,5
Lockerbie,2020-09-07,3.711,,,0
Nigg,2020-09-07,3.079,-0.575,3.408,7
Philipshill,2020-09-07,3.207,,3.317,4
Seafield,2020-09-07,3.971,,3.169,3
Shieldhall,2020-09-07,4.070,2.159,3.239,12
Troqueer,2020-09-07,2.973,,,0
Allanfearn,2020-09-14,3.047,-0.664,3.265,7
Carbarns,2020-09-14,4.226,,3.465,5
Dalmuir,2020-09-14,3.270,,3.856,6
Dalscone,2020-09-14,2.763,,2.844,2
Dunfermline,2020-09-14,3.758,0.580,3.150,8
Hamilton,2020-09-14,4.047,,3.221,3
Hatton,2020-09-14,3.412,,3.361,6
Hawick,2020-09-14,2.844,,3.700,3
Levenmouth,2020-09-14,3.260,,3.009,6
Lockerbie,2020-09-14,2.823,,3.711,1
Meadowhead,2020-09-14,2.948,,3.030,2
Nigg,2020-09-14,3.403,0.232,3.279,8
Peebles,2020-09-14,3.505,,,0
Philipshill,2020-09-14,4.287,,3.274,5
Shieldhall,2020-09-14,4.007,1.245,3.428,13
Stirling,2020-09-14,2.851,,2.643,1
Allanfearn,2020-09-21,3.644,1.528,3.179,8
Annan,2020-09-21,2.764,,,0
Carbarns,2020-09-21,4.788,,3.734,6
Dalbeattie,2020-09-21,3.356,,,0
Dalmuir,2020-09-21,4.389,1.369,3.626,7
Dalscone,2020-09-21,3.009,,2.812,3
Dunfermline,2020-09-21,4.115,0.719,3.389,9
Falkirk,2020-09-21,3.813,,3.157,5
Fort William,2020-09-21,4.768,,2.827,6
Galashiels,2020-09-21,2.871,,,0
Hamilton,2020-09-21,4.235,,3.546,4
Hatton,2020-09-21,4.076,1.855,3.381,7
Hawick,2020-09-21,4.112,,3.363,4
Helensburgh,2020-09-21,3.381,,,0
Kirkwall,2020-09-21,2.713,,3.571,4
Levenmouth,2020-09-21,3.807,2.133,3.108,7
Lockerbie,2020-09-21,2.925,,3.362,2
Meadowhead,2020-09-21,3.838,,2.998,3
Nairn,2020-09-21,2.580,,2.637,1
Nigg,2020-09-21,3.565,0.473,3.327,9
Peebles,2020-09-21,3.877,,3.505,1
Philipshill,2020-09-21,4.100,,3.493,6
Seafield,2020-09-21,4.409,,3.485,4
Shieldhall,2020-09-21,4.531,1.736,3.656,14
Stirling,2020-09-21,3.599,,2.725,2
Troqueer,2020-09-21,4.110,,2.973,1
Allanfearn,2020-09-28,3.254,-0.221,3.329,9
Carbarns,2020-09-28,4.728,0.939,4.033,7
Dalbeattie,2020-09-28,4.310,,3.356,1
Dalmuir,2020-09-28,4.773,1.445,3.900,8
Dalscone,2020-09-28,4.134,,2.890,4
Dunfermline,2020-09-28,3.811,0.136,3.675,10
Fort William,2020-09-28,5.121,37.190,2.857,7
Hamilton,2020-09-28,4.622,,3.817,5
Hatton,2020-09-28,4.314,1.808,3.566,8
Hawick,2020-09-28,4.064,,3.658,5
Helensburgh,2020-09-28,3.218,,3.381,1
Levenmouth,2020-09-28,4.135,2.081,3.269,8
Lockerbie,2020-09-28,3.090,,3.190,3
Meadowhead,2020-09-28,4.390,,3.329,4
Nairn,2020-09-28,4.530,,2.615,2
Nigg,2020-09-28,3.969,1.138,3.421,10
Peebles,2020-09-28,3.450,,3.652,2
Philipshill,2020-09-28,4.475,1.203,3.732,7
Seafield,2020-09-28,4.513,,3.848,5
Shieldhall,2020-09-28,4.696,1.328,3.904,15
Stirling,2020-09-28,4.037,,3.069,3
Troqueer,2020-09-28,4.329,,3.420,2
Allanfearn,2020-10-05,3.620,0.999,3.299,10
Carbarns,2020-10-05,4.882,0.739,4.306,8
Dalbeattie,2020-10-05,3.740,,3.732,2
Dalmuir,2020-10-05,4.866,0.977,4.197,9
Dalscone,2020-10-05,4.059,,3.379,5
Dunfermline,2020-10-05,4.087,0.370,3.729,11
Falkirk,2020-10-05,4.613,,3.281,6
Galashiels,2020-10-05,3.601,,2.871,1
Hatton,2020-10-05,3.971,0.429,3.769,9
Hawick,2020-10-05,3.874,,3.817,6
Helensburgh,2020-10-05,3.599,,3.317,2
Levenmouth,2020-10-05,3.337,-0.263,3.474,9
Meadowhead,2020-10-05,4.515,,3.746,5
Nairn,2020-10-05,3.951,,3.368,3
Nigg,2020-10-05,3.821,0.372,3.637,11
Peebles,2020-10-05,3.008,,3.572,3
Philipshill,2020-10-05,4.992,1.436,4.024,8
Shieldhall,2020-10-05,4.270,0.108,4.197,16
Troqueer,2020-10-05,3.831,,3.778,3
Allanfearn,2020-10-12,3.663,0.710,3.426,11
Annan,2020-10-12,3.110,,2.764,1
Carbarns,2020-10-12,4.824,0.358,4.533,9
Dalbeattie,2020-10-12,4.111,,3.735,3
Dalmuir,2020-10-12,4.600,0.189,4.461,10
Dalscone,2020-10-12,3.764,,3.647,6
Dunfermline,2020-10-12,4.410,0.568,3.869,12
Falkirk,2020-10-12,4.486,1.619,3.464,7
Fort William,2020-10-12,4.207,21.685,2.887,8
Galashiels,2020-10-12,3.594,,3.158,2
Hamilton,2020-10-12,5.455,,4.124,6
Hawick,2020-10-12,2.877,-2.262,3.839,7
Helensburgh,2020-10-12,4.785,,3.428,3
Lerwick,2020-10-12,3.718,,,0
